restaurant,category,rainy_records,clear_records,avg_change_rain,avg_change_clear,rpi,significant,verdict
Behrouz Biryani,biryani,0,0,0.0,0.0,0.0,False,No significant change
Biggies Burger,fried_chicken,0,0,0.0,0.0,0.0,False,No significant change
Biriyani Box,biryani,0,7,0.0,0.48,0.0,False,No significant change
Biryani By Kilo,biryani,0,0,0.0,0.0,0.0,False,No significant change
Bob's Momo,momos,0,0,0.0,0.0,0.0,False,No significant change
Burger King,fried_chicken,0,0,0.0,0.0,0.0,False,No significant change
Burger Singh,fried_chicken,0,12,0.0,-20.08,0.0,False,No significant change
Burnt,momos,0,0,0.0,0.0,0.0,False,No significant change
Darjeeling Kitchen,momos,0,0,0.0,0.0,0.0,False,No significant change
Faasos,rolls,1,188,-38.2,5.57,-38.2,False,No significant change
Kake Da Minar,paneer,0,0,0.0,0.0,0.0,False,No significant change
Kake Di Hatti,paneer,0,12,0.0,7.39,0.0,False,No significant change
KFC,fried_chicken,0,0,0.0,0.0,0.0,False,No significant change
Mughlai House,biryani,0,0,0.0,0.0,0.0,False,No significant change
Rolls World,rolls,0,0,0.0,0.0,0.0,False,No significant change
Taste of China,momos,0,0,0.0,0.0,0.0,False,No significant change
Truptee Legacy,paneer,0,0,0.0,0.0,0.0,False,No significant change
Wow! Momo,momos,10,78,-1.4,3.92,-1.4,True,Drop during rain
Zam Zam Grills,rolls,0,0,0.0,0.0,0.0,False,No significant change
